Gaming_Platform,YoR,Sales_NA,Sales_EU,Sales_JP,Other_Sales,Genre
PS2,2006.0,0.05,0.04,0.0,0.01,Action
Wii,2008.0,0.16,0.01,0.0,0.01,Action
PS4,2014.0,0.24,0.31,0.01,0.11,Action
DS,2006.0,0.12,0.0,0.0,0.01,Platform
PSP,2007.0,0.08,0.27,0.0,0.15,Racing
PSP,2008.0,0.52,0.27,0.0,0.19,Racing
X360,2014.0,0.03,0.04,0.0,0.01,Action
DS,2009.0,,0.0,0.0,0.02,Adventure
DS,2009.0,0.0,0.0,0.07,0.0,Action
PS,2000.0,0.14,0.1,0.0,0.02,Racing
XOne,2014.0,0.0,0.0,0.01,0.0,Adventure
PS,1996.0,1.33,0.4,0.03,0.07,Racing
WiiU,2012.0,0.14,0.03,0.0,0.02,Action
PS,1996.0,0.03,0.02,0.0,0.0,Adventure
PSP,2010.0,0.1,0.02,0.0,0.02,Action
Wii,2008.0,0.0,0.07,0.19,0.01,Adventure
PSP,2013.0,0.0,0.0,0.01,0.0,Adventure
PS,1998.0,0.04,0.03,0.0,0.0,Action
PSP,2006.0,0.08,0.0,0.0,0.01,Action
XB,2005.0,0.02,0.01,0.0,0.0,Platform
XB,2001.0,0.18,0.05,0.0,0.01,Action
Wii,2009.0,0.05,0.11,0.0,0.02,Racing
PSV,2013.0,0.0,0.0,0.01,0.0,Adventure
XB,2002.0,0.14,0.04,0.0,0.01,Platform
X360,2007.0,0.54,0.09,0.0,0.06,Action
2600,1981.0,0.63,0.03,0.0,0.01,Action
DS,2005.0,0.11,0.02,0.0,0.01,Racing
PC,2011.0,0.0,0.05,0.0,0.01,Action
XOne,2015.0,0.16,0.09,0.0,0.02,Action
PS3,2007.0,0.12,0.02,0.0,0.02,Action
DS,2010.0,0.14,0.09,0.0,0.03,Action
PS2,2004.0,0.1,0.08,0.0,0.03,Racing
PC,2005.0,0.0,0.03,0.0,0.0,Action
PC,2011.0,0.16,0.28,0.0,0.09,Action
GBA,2002.0,0.53,0.2,0.0,0.01,Action
PSV,2015.0,0.0,0.0,0.06,0.0,Action
DS,2010.0,0.0,0.0,0.01,0.0,Adventure
PSV,2014.0,0.0,0.0,0.01,0.0,Adventure
PS2,2004.0,0.34,0.27,0.0,0.09,Action
PS2,2008.0,0.02,0.02,0.0,0.01,Action
PS2,2004.0,0.06,0.05,0.0,0.02,Adventure
PSP,2006.0,2.45,1.01,0.0,0.75,Platform
PS2,2005.0,0.23,0.18,0.0,0.06,Racing
PSP,2014.0,0.0,0.0,0.01,0.0,Adventure
PSP,2013.0,0.0,0.0,0.02,0.0,Adventure
PSV,2015.0,0.0,0.03,0.07,0.01,Action
PS3,2015.0,0.03,0.04,0.0,0.01,Action
Wii,2014.0,0.41,0.46,0.0,0.08,Action
DS,2010.0,0.0,0.0,0.07,0.0,Adventure
XB,2005.0,0.06,0.02,0.0,0.0,Racing
NES,1986.0,0.0,0.0,1.5,0.0,Platform
GBA,2002.0,0.08,0.03,0.0,0.0,Action
N64,2000.0,0.16,0.04,0.0,0.0,Racing
SAT,1998.0,0.0,0.0,0.11,0.0,Adventure
Wii,2008.0,0.17,0.01,0.0,0.01,Adventure
PS2,2007.0,0.35,0.03,0.0,1.13,Action
GC,2002.0,0.15,0.04,0.0,0.01,Platform
XB,2006.0,0.02,0.01,0.0,0.0,Action
X360,2007.0,0.22,0.01,0.0,0.02,Action
