region,Year,Population,GDP per Capita,Urban Population,Life Expectancy,Surface Area,Literacy Rate
asia,2017,4541854.0,17802.5751178049,83.56,77.924,309500.0,95.5759963989258
americas,2015,36538.0,25783.2941047676,92.195,76.912,950.0,
africa,2015,28127721.0,3217.33924430561,63.446,60.655,1246700.0,
europe,2015,66548272.0,36652.9223052178,79.655,82.3219512195122,549087.0,
africa,2015,13763906.0,507.482915466996,43.245,54.857,637660.0,
africa,2015,18112907.0,723.504204947663,39.991,58.363,1240190.0,33.0688896179199
africa,2015,2282704.0,4965.67276506551,46.9,60.7,824290.0,
europe,2015,5188607.0,74809.9658049898,81.091,82.3048780487805,625184.78,
americas,2017,208504960.0,9896.71889500528,86.309,74.827,8515770.0,93.0758209228516
europe,2015,83593.0,84753.4567282435,52.245,78.905,570.0,
asia,2015,51368.0,13101.5418159165,87.238,,200.0,
europe,2015,2835978.0,2749.91303825395,42.49,69.24,33850.0,
asia,2015,203571.0,4048.46711296568,18.914,72.515,2840.0,
asia,2015,8524063.0,970.362599665447,26.742,69.306,141380.0,
asia,2016,8994263.0,41054.5395699204,85.965,79.335,98647.9,
europe,2015,71746.0,38885.5485894753,88.345,,470.0,
americas,2015,4895242.0,11529.9551730192,76.862,79.086,51100.0,
asia,2016,5607283.0,56895.6583127851,100.0,82.8463414634146,719.0,97.049560546875
europe,2015,46444832.0,25754.36102944,79.602,82.8317073170732,505924.0,98.1432571411133
asia,2015,8380100.0,36206.5222171621,92.179,82.0512195121951,22070.0,
africa,2015,102471895.0,630.312619383054,19.428,63.649,1136244.136,
europe,2015,1187280.0,23408.44140625,66.946,80.966,9251.0,
americas,2015,106482.0,7386.74663845115,50.964,74.407,390.0,
europe,2015,1788196.0,3520.78207462478,,78.922,,
africa,2015,3340006.0,,38.206,66.033,121675.405,
africa,2017,108197950.0,755.752644348666,20.31,64.838,1136243.265,51.7711791992188
americas,2016,31132779.0,6163.86042474328,77.539,75.789,1285220.0,94.1736679077148
africa,2015,10932783.0,1041.65252315983,45.695,59.377,114760.0,
asia,2015,106122.0,4117.93104694205,23.275,70.607,750.0,
africa,2015,34680458.0,3139.22827148438,60.809,72.92,446550.0,
asia,2015,70294397.0,5708.79409105798,47.694,77.717,513120.0,92.8683090209961
africa,2015,38171178.0,2226.40942382813,33.894,64.659,1878000.0,
europe,2015,8282396.0,83806.4476003837,73.718,82.8975609756098,41290.7,
africa,2015,37477356.0,864.180059289672,22.06,61.086,241550.0,
africa,2015,24850912.0,455.63803458407,35.193,64.339,587295.0,
americas,2015,38825.0,36519.9925867513,100.0,76.954,34.0,
africa,2015,14154937.0,1410.32917348908,32.385,59.591,390760.0,
europe,2015,3524324.0,4654.60862038896,47.173,76.182,51210.0,
americas,2015,89941.0,15985.5411386971,25.0,77.913,440.0,
europe,2015,4701957.0,62179.2642662951,62.538,81.4536585365854,70280.0,
asia,2015,8916899.0,41525.1389031283,85.674,79.223,98647.9,
africa,2015,201124.0,1292.73305546523,70.174,67.249,960.0,
africa,2016,11260085.0,1049.82030349923,46.229,59.539,114760.0,
africa,2015,7314773.0,581.293411814954,40.829,57.189,72300.0,
europe,2015,11274196.0,41008.296719472,97.876,80.9926829268293,30530.0,
europe,2015,2880703.0,3952.80357364813,57.434,78.644,28750.0,
africa,2015,39543154.0,4197.41998491398,70.848,75.622,2381741.0,
americas,2015,6231066.0,3761.51368000275,69.7,71.814,21040.0,87.9698486328125
africa,2015,10727148.0,289.359627206129,12.078,60.217,27830.0,
europe,2015,10358076.0,19250.1065376852,63.514,81.1243902439025,92225.6,
asia,2016,24190907.0,49918.7939327254,85.8,82.4487804878049,7741220.0,
americas,2015,1460177.0,18508.770502876,53.319,74.503,5130.0,
europe,2015,45154036.0,2124.66259765625,69.061,71.189512195122,603550.0,
europe,2015,1977527.0,13786.4567953114,67.98,74.4804878048781,64594.0,
asia,2015,5535002.0,55645.6068614606,100.0,82.7439024390244,719.0,96.8254928588867
asia,2015,8682174.0,2502.07344498028,13.012,64.701,462840.0,
europe,2016,72540.0,39931.2362644858,88.248,,470.0,
americas,2016,10713849.0,1313.18609516709,53.396,63.392,27750.0,61.691349029541
europe,2015,2878595.0,3666.14182210905,63.085,74.436,29740.0,
europe,2015,16939923.0,45193.4032187971,90.173,81.509756097561,41540.0,
americas,2015,35020.0,,,79.309,50.0,
asia,2015,27610325.0,882.307663444541,18.557,67.456,147180.0,
americas,2015,10563757.0,1405.71478574216,52.427,63.237,27750.0,
africa,2015,28870939.0,1711.27131722255,54.086,63.175,238540.0,
africa,2015,46851488.0,1496.65357260021,25.658,61.892,580370.0,
europe,2015,5683483.0,53254.8563700916,87.526,80.7024390243902,42920.0,
asia,2016,34636207.0,523.053012101752,25.02,63.136,652860.0,
asia,2015,1379860000.0,8016.44559491162,55.5,76.977,9562911.0,
africa,2015,4612329.0,699.662946853965,49.82,59.148,111370.0,
asia,2016,1409661.0,22867.1811196134,89.09,79.557,779.0,
asia,2016,51892349.0,1218.21703407842,30.082,65.685,676590.0,75.5512008666992
africa,2015,11557779.0,3960.92484913663,68.056,75.692,163610.0,
americas,2015,35702908.0,43596.1355365546,81.259,81.8156097560976,9879750.0,
asia,2015,1322866505.0,1590.17433135955,32.777,69.636,3287260.0,
asia,2016,454252.0,9708.14134750478,38.954,79.872,300.0,97.7349472045898
europe,2015,5479531.0,42801.9081167285,85.225,81.4804878048781,338446.0,
africa,2015,1133936.0,3583.31129031343,23.3,55.019,17360.0,
europe,2015,4203604.0,12098.5120254631,56.155,77.2756097560976,88073.0,
